,rank,actor,actor_score
406,407, Hugh Grant,60
407,408, Barry Fitzgerald,60
408,409, Charles Coburn,60
409,410, Van Heflin,59
410,411, Donald Crisp,59
411,412, Thomas Mitchell,59
412,413, Walter Brennan,59
413,414, Joseph Schildkraut,59
414,415, Keanu Reeves,59
415,416, Channing Tatum,59
416,417, Hugh Jackman,59
417,418, Dwayne Johnson,59
418,419, Adam Sandler,59
419,420, Daniel Radcliffe,58
420,421, Daniel Craig,58
421,422, Ryan Gosling,58
422,423, Vin Diesel,58
423,424, Ben Affleck,58
424,425, Chris Pine,58
425,426, Olympia Dukakis,58
426,427, Peggy Ashcroft,58
427,428, Linda Hunt,58
428,429, Maureen Stapleton,58
429,430, Mary Steenburgen,57
430,431, Beatrice Straight,57
431,432, Vanessa Redgrave,57
432,433, Lee Grant,57
433,434, Eileen Heckart,57
434,435, Cloris Leachman,57
435,436, Ruth Gordon,57
436,437, Estelle Parsons,57
437,438, Sandy Dennis,57
438,439, Shelley Winters,57
439,440, Maggie Gyllenhaal,56
440,441, Katie Holmes,56
441,442, Patty Duke,56
442,443, Rita Moreno,56
443,444, Wendy Hiller,56
444,445, Miyoshi Umeki,56
445,446, Dorothy Malone,56
446,447, Jo Van Fleet,56
447,448, Eva Marie Saint,56
448,449, Gloria Grahame,56
449,450, Kim Hunter,55
450,451, Andrew Garfield,55
451,452, Jeremy Renner,55
452,453, Steve Carell,55
453,454, Jake Gyllenhaal,55
454,455, Chris Evans,55
455,456, James Franco,55
456,457, Zach Galifianakis,55
457,458, Will Ferrell,55
458,459, Shia LaBeouf,55
459,460, Seth Rogen,54
460,461, Joseph Gordon-Levitt,54
461,462, Ryan Reynolds,54
462,463, Paul Rudd,54
463,464, Jason Segel,54
464,465, Jason Statham,54
465,466, Justin Timberlake,54
466,467, Dick Van Dyke,54
467,468, Zac Efron,54
468,469, Jesse Eisenberg,54
469,470, Owen Wilson,53
470,471, Jason Bateman,53
471,472, Tyler Perry,53
472,473, Liam Hemsworth,53
473,474, William Shatner,53
474,475, Shah Rukh Khan,53
475,476, Thora Birch,53
476,477, Claire Trevor,53
477,478, Celeste Holm,53
478,479, Anne Baxter,53
479,480, Queen Latifah,52
480,481, Ethel Barrymore,52
481,482, Rosario Dawson,52
482,483, Teresa Wright,52
483,484, Mary Astor,52
484,485, Jane Darwell,52
485,486, Alicia Vikander,52
486,487, Mia Wasikowska,52
487,488, Abigail Breslin,52
488,489, Gale Sondergaard,52
489,490, Melissa McCarthy,51
490,491, Tina Fey,51
491,492, Zoe Saldana,51
492,493, Elisabeth Moss,51
493,494, Adrianne Palicki,51
494,495, Jennifer Garner,51
495,496, Kristen Wiig,51
496,497, June Squibb,51
497,498, Sally Hawkins,51
498,499, Kaley Cuoco,51
499,500, Naomi Watts,50
500,501, Josh Hutcherson,50
501,502, Charlie Hunnam,50
502,503, Nicholas Hoult,50
503,504, Aaron Taylor-Johnson,50
504,505, Bryan Cranston,50
505,506, Gerard Butler,50
506,507, Paul Walker,50
507,508, Karl Urban,50
508,509, Logan Lerman,50
509,510, Dave Franco,49
510,511, Tom Hiddleston,49
511,512, Peter Dinklage,49
512,513, Taylor Kitsch,49
513,514, Alex Pettyfer,49
514,515, Guy Pearce,49
515,516, Mark Ruffalo,49
516,517, Mickey Rourke,49
517,518, Frank Langella,49
518,519, Eddie Redmayne,49
519,520, David Strathairn,48
520,521, Terrence Howard,48
521,522, Don Cheadle,48
522,523, Tom Wilkinson,48
523,524, Richard Farnsworth,48
524,525, Nick Nolte,48
525,526, AnnaSophia Robb,48
526,527, Gemma Arterton,48
527,528, Olivia Wilde,48
528,529, Isla Fisher,48
529,530, Shailene Woodley,47
530,531, Rebel Wilson,47
531,532, Emma Roberts,47
532,533, Amber Heard,47
533,534, Teresa Palmer,47
534,535, Saoirse Ronan,47
535,536, Elizabeth Banks,47
536,537, Ida Lupino,47
537,538, Natalie Dormer,47
538,539, Brittany Snow,47
539,540, Kate Mara,46
540,541, Julianne Hough,46
541,542, Lily Collins,46
542,543, Cobie Smulders,46
543,544, Alice Eve,46
544,545, Jamie Chung,46
545,546, Noomi Rapace,46
546,547, Blake Lively,46
547,548, Maggie Grace,46
548,549, Jessica Biel,46
549,550, Eva Green,45
550,551, Peter Fonda,45
551,552, Woody Harrelson,45
552,553, Billy Bob Thornton,45
553,554, Idris Elba,45
554,555, Nigel Hawthorne,45
555,556, Laurence Fishburne,45
556,557, Stephen Rea,45
557,558, Warren Beatty,45
558,559, Gérard Depardieu,45
559,560, Richard Harris,44
560,561, Kenneth Branagh,44
561,562, Edward James Olmos,44
562,563, Max von Sydow,44
563,564, Marcello Mastroianni,44
564,565, Bob Hoskins,44
565,566, James Woods,44
566,567, John Hawkes,44
567,568, James Garner,44
568,569, Sam Waterston,44
569,570, Tom Hulce,43
570,571, Albert Finney,43
571,572, Tom Conti,43
572,573, Tom Courtenay,43
573,574, Dudley Moore,43
574,575, John Hurt,43
575,576, Kat Dennings,43
576,577, Priyanka Chopra,43
577,578, Emmanuelle Riva,43
578,579, Greta Gerwig,43
579,580, Brie Larson,42
580,581, Jessica Lucas,42
581,582, Liv Ullmann,42
582,583, Maria Falconetti,42
583,584, Setsuko Hara,42
584,585, Rosalind Russell,42
585,586, Linda Fiorentino,42
586,587, Gabourey Sidibe,42
587,588, Catherine Deneuve,42
588,589, Mia Farrow,42
589,590, Audrey Tautou,41
590,591, Jeanne Moreau,41
591,592, Isabelle Huppert,41
592,593, Gena Rowlands,41
593,594, Lesley Manville,41
594,595, Elizabeth Olsen,41
595,596, Nastassja Kinski,41
596,597, Mélanie Laurent,41
597,598, Whitney Houston,41
598,599, Felicity Huffman,41
599,600, Imelda Staunton,40
600,601, Oscar Isaac,40
601,602, Jon Heder,40
602,603, Miles Teller,40
603,604, Daniel Brühl,40
604,605, James Gandolfini,40
605,606, Michael B. Jordan,40
606,607, Anthony Perkins,40
607,608, David Thewlis,40
608,609, Klaus Kinski,40
609,610, Malcolm McDowell,39
610,611, Ray Winstone,39
611,612, Jean-Paul Belmondo,39
612,613, Andy Serkis,39
613,614, Matthew Broderick,39
614,615, Dennis Hopper,39
615,616, Michael Rooker,39
616,617, Vincent Gallo,39
617,618, Toshirô Mifune,39
618,619, Vincent Cassel,39
619,620, J.K. Simmons,38
620,621, Boris Karloff,38
621,622, Peter Lorre,38
622,623, Antonio Banderas,38
623,624, Paddy Considine,38
624,625, Ryan Phillippe,38
625,626, Kerry Washington,38
626,627, Carrie-Anne Moss,38
627,628, Janet Leigh,38
628,629, Catalina Sandino Moreno,38
629,630, Samantha Morton,37
630,631, Keisha Castle-Hughes,37
631,632, Salma Hayek,37
632,633, Joan Allen,37
633,634, Janet McTeer,37
634,635, Fernanda Montenegro,37
635,636, Kristin Scott Thomas,37
636,637, Brenda Blethyn,37
637,638, Elisabeth Shue,37
638,639, Miranda Richardson,37
639,640, Stockard Channing,36
640,641, Angela Bassett,36
641,642, Mary McDonnell,36
642,643, Lucille Ball,36
643,644, Laura Dern,36
644,645, Pauline Collins,36
645,646, Isabelle Adjani,36
646,647, Melanie Griffith,36
647,648, Sally Kirkland,36
648,649, Jane Alexander,36
649,650, Marsha Mason,35
650,651, Freddie Highmore,35
651,652, Michael J. Fox,35
652,653, Eddie Murphy,35
653,654, Yun-Fat Chow,35
654,655, Seth MacFarlane,35
655,656, Bruce Lee,35
